"Date","Price","Open","High","Low","Vol.","Change %"
"03/11/2025","620.80","635.80","635.80","616.50","538.93K","-1.51%"
"03/10/2025","630.30","636.20","640.00","624.70","643.78K","-0.69%"
"03/07/2025","634.70","647.70","647.80","628.60","809.71K","-2.80%"
"03/06/2025","653.00","669.80","669.80","646.30","639.97K","-1.70%"
"03/05/2025","664.30","680.30","681.40","664.30","593.86K","-0.46%"
"03/04/2025","667.40","680.90","682.90","662.10","615.05K","-3.39%"
"03/03/2025","690.80","691.20","700.90","685.00","481.25K","-0.59%"
"02/28/2025","694.90","683.50","694.90","680.20","864.55K","0.26%"
"02/27/2025","693.10","689.00","697.90","686.00","394.32K","-1.03%"
"02/26/2025","700.30","694.00","706.90","692.60","384.66K","2.35%"
"02/25/2025","684.20","689.10","690.50","683.20","348.74K","-1.14%"
"02/24/2025","692.10","701.40","701.90","688.50","364.36K","-1.47%"
"02/21/2025","702.40","695.50","707.10","695.50","459.12K","0.99%"
"02/20/2025","695.50","685.60","699.60","685.50","333.60K","0.67%"
"02/19/2025","690.90","702.90","703.80","688.50","426.70K","-2.01%"
"02/18/2025","705.10","705.20","707.60","699.20","338.88K","0.51%"
"02/17/2025","701.50","708.00","710.30","698.30","336.52K","-1.61%"
"02/14/2025","713.00","720.00","723.00","711.10","594.10K","0.82%"
"02/13/2025","707.20","698.80","708.80","694.50","501.43K","2.82%"
"02/12/2025","687.80","687.90","691.10","672.00","443.37K","0.38%"
"02/11/2025","685.20","681.90","687.30","677.80","297.41K","-0.01%"
"02/10/2025","685.30","684.40","687.10","678.80","336.36K","0.16%"
"02/07/2025","684.20","695.00","696.00","682.80","401.01K","-1.82%"
"02/06/2025","696.90","684.80","699.40","679.00","485.22K","1.59%"
"02/05/2025","686.00","688.00","691.70","680.00","356.96K","-0.97%"
"02/04/2025","692.70","692.30","695.30","682.90","370.85K","0.38%"
"02/03/2025","690.10","685.10","693.80","683.30","695.31K","-1.90%"
"01/31/2025","703.50","716.90","718.00","698.80","578.61K","-1.72%"
"01/30/2025","715.80","718.40","718.90","710.80","420.06K","0.36%"
"01/29/2025","713.20","720.50","722.20","700.00","984.40K","-4.98%"
"01/28/2025","750.60","749.30","762.70","746.30","567.64K","-0.56%"
"01/27/2025","754.80","735.20","754.80","728.60","633.19K","2.82%"
"01/24/2025","734.10","750.00","750.00","725.20","713.01K","1.87%"
"01/23/2025","720.60","715.10","721.40","708.90","575.49K","0.95%"
"01/22/2025","713.80","700.00","714.30","697.80","617.98K","1.78%"
"01/21/2025","701.30","684.00","701.30","683.10","521.38K","2.66%"
"01/20/2025","683.10","690.00","696.20","680.90","418.51K","-1.01%"
"01/17/2025","690.10","691.10","699.50","685.60","714.73K","-0.78%"
"01/16/2025","695.50","690.00","700.70","678.00","1.08M","9.15%"
"01/15/2025","637.20","648.40","653.40","637.20","528.88K","-2.12%"
"01/14/2025","651.00","657.70","662.40","651.00","466.76K","0.71%"
"01/13/2025","646.40","642.00","648.60","638.60","293.77K","0.22%"
"01/10/2025","645.00","645.10","655.00","642.40","410.41K","-0.46%"
"01/09/2025","648.00","630.30","649.10","629.70","408.81K","1.93%"
"01/08/2025","635.70","643.70","645.00","630.30","380.53K","-1.37%"
"01/07/2025","644.50","636.30","646.20","632.40","432.71K","1.56%"
"01/06/2025","634.60","614.70","643.90","613.30","611.62K","3.81%"
"01/03/2025","611.30","635.00","635.80","609.60","415.34K","-3.79%"
"01/02/2025","635.40","637.90","639.40","619.30","374.04K","-0.02%"
"12/31/2024","635.50","625.60","637.70","623.10","99.67K","0.99%"
"12/30/2024","629.30","632.30","636.10","628.00","291.84K","-0.99%"
"12/27/2024","635.60","630.60","638.00","630.00","254.54K","0.76%"
"12/24/2024","630.80","630.50","633.20","629.90","76.31K","0.25%"
"12/23/2024","629.20","626.30","629.50","623.50","264.22K","0.18%"
"12/20/2024","628.10","625.70","632.70","617.10","764.73K","0.10%"
"12/19/2024","627.50","624.40","633.00","623.80","465.77K","-1.41%"
"12/18/2024","636.50","636.90","639.60","631.30","441.36K","0.14%"
"12/17/2024","635.60","627.00","640.50","625.70","410.13K","0.70%"
"12/16/2024","631.20","630.90","638.10","627.40","403.17K","-1.22%"
"12/13/2024","639.00","642.90","648.60","636.20","423.30K","-1.08%"
"12/12/2024","646.00","652.60","655.00","636.80","469.34K","0.34%"
"12/11/2024","643.80","631.00","645.80","628.60","437.45K","1.23%"
"12/10/2024","636.00","642.00","645.20","634.65","481.37K","-2.54%"
"12/09/2024","652.60","640.00","658.80","640.00","746.42K","3.52%"
"12/06/2024","630.40","609.10","634.30","608.50","544.28K","3.48%"
"12/05/2024","609.20","606.00","614.00","604.70","408.68K","-0.16%"
"12/04/2024","610.20","610.10","614.50","606.80","443.54K","0.16%"
"12/03/2024","609.20","610.00","620.20","605.40","495.07K","0.51%"
"12/02/2024","606.10","585.10","608.80","582.20","617.67K","2.30%"
"11/29/2024","592.50","584.90","593.10","583.40","440.02K","1.02%"
"11/28/2024","586.50","589.60","592.90","586.00","260.19K","-0.61%"
"11/27/2024","590.10","591.70","595.20","586.70","386.61K","-0.99%"
"11/26/2024","596.00","589.30","607.70","581.30","379.59K","0.59%"
"11/25/2024","592.50","593.00","600.10","590.30","617.92K","1.63%"
"11/22/2024","583.00","579.70","585.10","570.70","412.21K","1.41%"
"11/21/2024","574.90","570.20","576.20","566.90","361.23K","-0.09%"
"11/20/2024","575.40","582.50","585.50","575.40","301.09K","-0.33%"
"11/19/2024","577.30","588.40","591.50","569.20","501.36K","-1.92%"
"11/18/2024","588.60","589.40","590.20","582.20","288.17K","0.39%"
"11/15/2024","586.30","581.00","591.50","579.70","370.43K","0.33%"
"11/14/2024","584.40","572.00","587.20","565.40","590.10K","1.81%"
"11/13/2024","574.00","571.90","578.40","569.90","550.03K","0.28%"
"11/12/2024","572.40","585.30","591.30","565.70","962.64K","-4.52%"
"11/11/2024","599.50","601.00","606.70","597.60","386.81K","0.18%"
"11/08/2024","598.40","621.50","621.80","595.40","645.63K","-3.33%"
"11/07/2024","619.00","601.70","623.60","599.00","461.21K","2.64%"
"11/06/2024","603.10","605.50","627.40","597.20","508.05K","0.08%"
"11/05/2024","602.60","610.60","610.80","599.30","310.73K","-0.68%"
"11/04/2024","606.70","611.00","618.80","606.30","239.75K","-0.70%"
"11/01/2024","611.00","610.70","614.10","608.40","263.33K","0.20%"
"10/31/2024","609.80","615.00","617.30","605.30","525.31K","-1.34%"
"10/30/2024","618.10","624.10","625.90","608.60","536.64K","-2.03%"
"10/29/2024","630.90","631.50","644.50","630.00","361.68K","-0.19%"
"10/28/2024","632.10","632.40","639.50","628.20","339.36K","0.81%"
"10/25/2024","627.00","626.60","628.80","621.50","320.11K","-0.27%"
"10/24/2024","628.70","613.20","635.60","613.20","517.02K","2.46%"
"10/23/2024","613.60","611.30","617.80","609.20","277.96K","-0.39%"
"10/22/2024","616.00","612.40","619.70","609.30","317.51K","0.82%"
"10/21/2024","611.00","620.80","625.70","609.70","343.94K","-1.96%"
"10/18/2024","623.20","615.20","630.80","615.20","593.41K","2.26%"
"10/17/2024","609.40","605.30","613.60","598.50","448.80K","1.16%"
"10/16/2024","602.40","587.90","610.50","578.80","1.14M","-3.68%"
"10/15/2024","625.40","637.70","639.00","621.70","638.85K","-1.94%"
"10/14/2024","637.80","651.60","652.20","632.30","569.99K","-2.34%"
"10/11/2024","653.10","650.00","654.80","646.10","344.99K","-0.29%"
"10/10/2024","655.00","656.40","659.30","651.00","374.14K","-0.21%"
"10/09/2024","656.40","658.70","660.90","648.40","360.69K","0.14%"
"10/08/2024","655.50","639.30","659.80","633.40","503.39K","-3.57%"
"10/07/2024","679.80","666.00","681.90","664.30","549.34K","2.70%"
"10/04/2024","661.90","658.30","669.20","656.30","468.43K","0.14%"
"10/03/2024","661.00","665.40","665.50","654.20","338.63K","-1.11%"
"10/02/2024","668.40","669.00","676.10","661.30","404.96K","0.66%"
"10/01/2024","664.00","680.00","686.10","660.40","602.35K","-3.56%"
"09/30/2024","688.50","699.40","707.80","687.60","653.73K","-2.12%"
"09/27/2024","703.40","700.00","703.40","682.50","1.04M","3.67%"
"09/26/2024","678.50","646.00","678.50","643.50","1.24M","9.88%"
